username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
SelbarHumas,humas selbar,,50,43,899,2020-12-25 05:41:43,2022-04-01 23:59:12,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/J3JYSRJ3zB","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
SelbarHumas,humas selbar,,50,43,899,2020-12-25 05:41:43,2022-04-01 23:56:21,0,Bhabinkamtibmas desa Abiantuwung Kediri pengamanan vaksinasi Booster di desa binaannya.  #vaksinbooster #vaksinserentak #vaksìnasicovid19 #vaksìncovid19 #ayokitavaksin #ayovaksìncovid19 #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/htugtJ1FR8,"[{'text': 'vaksinbooster', 'indices': [89, 103]}, {'text': 'vaksinserentak', 'indices': [104, 119]}, {'text': 'vaksìnasicovid19', 'indices': [120, 137]}, {'text': 'vaksìncovid19', 'indices': [138, 152]}, {'text': 'ayokitavaksin', 'indices': [153, 167]}, {'text': 'ayovaksìncovid19', 'indices': [168, 185]}, {'text': 'bersatulawancovid19', 'indices': [186, 206]}, {'text': 'bersamalawancorona', 'indices': [207, 226]}, {'text': 'polrestabanan', 'indices': [227, 241]}]"
Polsek_smgutara,Polsek Semarang Utara,"Semarang, Jawa Tengah",44,405,10844,2018-03-24 05:31:07,2022-04-01 23:51:06,0,"Yuk ikuti Vaksinasi Covid-19 Serentak Dosis 1,2 &amp; Booster Biddokkes Polda Jateng hari Sabtu, 02 April 2022 di GoR TRI LOMBA JUANG SEMARANG Jl. Tri Lomba Juang, Mugassari, Semarang Selatan, Kota Semarang, mulai pukul 06.30 s/d 10.00 Wib.

#Vaksin #VaksinBooster https://t.co/GCNxtJ1Wdw","[{'text': 'Vaksin', 'indices': [242, 249]}, {'text': 'VaksinBooster', 'indices': [250, 264]}]"
TabananPolres,"Polres Tabanan ""Melayani dengan Sepenuh Hati""",,414,223,8510,2021-05-08 02:57:33,2022-04-01 23:42:43,2,Bhabinkamtibmas desa Abiantuwung Kediri pengamanan vaksinasi Booster di desa binaannya.  #vaksinbooster #vaksinserentak #vaksìnasicovid19 #vaksìncovid19 #ayokitavaksin #ayovaksìncovid19 #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/W5DDJaYtln,"[{'text': 'vaksinbooster', 'indices': [109, 123]}, {'text': 'vaksinserentak', 'indices': [124, 139]}]"
TabananPolres,"Polres Tabanan ""Melayani dengan Sepenuh Hati""",,414,223,8510,2021-05-08 02:57:33,2022-04-01 23:42:26,3,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/kWjvF168zh","[{'text': 'ayovaksìncovid19', 'indices': [83, 100]}, {'text': 'ayokitavaksin', 'indices': [101, 115]}, {'text': 'vaksìnasicovid19', 'indices': [116, 133]}]"
humaspolsektbn,,,2,4,1410,2021-01-24 02:25:18,2022-04-01 23:26:13,0,Bhabinkamtibmas desa Abiantuwung Kediri pengamanan vaksinasi Booster di desa binaannya.  #vaksinbooster #vaksinserentak #vaksìnasicovid19 #vaksìncovid19 #ayokitavaksin #ayovaksìncovid19 #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/Mi4xAzx2Q1,"[{'text': 'vaksinbooster', 'indices': [89, 103]}, {'text': 'vaksinserentak', 'indices': [104, 119]}, {'text': 'vaksìnasicovid19', 'indices': [120, 137]}, {'text': 'vaksìncovid19', 'indices': [138, 152]}, {'text': 'ayokitavaksin', 'indices': [153, 167]}, {'text': 'ayovaksìncovid19', 'indices': [168, 185]}, {'text': 'bersatulawancovid19', 'indices': [186, 206]}, {'text': 'bersamalawancorona', 'indices': [207, 226]}, {'text': 'polrestabanan', 'indices': [227, 241]}]"
humaspolsektbn,,,2,4,1410,2021-01-24 02:25:18,2022-04-01 23:22:22,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/XMykznF1yy","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
PSeltim,Akurat terpercaya,,120,226,3654,2020-03-31 05:23:48,2022-04-01 23:04:52,0,Bhabinkamtibmas desa Abiantuwung Kediri pengamanan vaksinasi Booster di desa binaannya.  #vaksinbooster #vaksinserentak #vaksìnasicovid19 #vaksìncovid19 #ayokitavaksin #ayovaksìncovid19 #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/Blal9eaFq4,"[{'text': 'vaksinbooster', 'indices': [89, 103]}, {'text': 'vaksinserentak', 'indices': [104, 119]}, {'text': 'vaksìnasicovid19', 'indices': [120, 137]}, {'text': 'vaksìncovid19', 'indices': [138, 152]}, {'text': 'ayokitavaksin', 'indices': [153, 167]}, {'text': 'ayovaksìncovid19', 'indices': [168, 185]}, {'text': 'bersatulawancovid19', 'indices': [186, 206]}, {'text': 'bersamalawancorona', 'indices': [207, 226]}, {'text': 'polrestabanan', 'indices': [227, 241]}]"
TabananHumas,,,4,9,4166,2021-05-09 22:52:02,2022-04-01 23:04:18,1,Bhabinkamtibmas desa Abiantuwung Kediri pengamanan vaksinasi Booster di desa binaannya.  #vaksinbooster #vaksinserentak #vaksìnasicovid19 #vaksìncovid19 #ayokitavaksin #ayovaksìncovid19 #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/IAMHC3KSdY,"[{'text': 'vaksinbooster', 'indices': [107, 121]}, {'text': 'vaksinserentak', 'indices': [122, 137]}]"
TabananHumas,,,4,9,4166,2021-05-09 22:52:02,2022-04-01 23:03:53,1,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/APymGXD4Jh","[{'text': 'ayovaksìncovid19', 'indices': [81, 98]}, {'text': 'ayokitavaksin', 'indices': [99, 113]}, {'text': 'vaksìnasicovid19', 'indices': [114, 131]}]"
TabananHumas,,,4,9,4166,2021-05-09 22:52:02,2022-04-01 23:02:32,1,Bhabinkamtibmas desa Abiantuwung Kediri pengamanan vaksinasi Booster di desa binaannya.  #vaksinbooster #vaksinserentak #vaksìnasicovid19 #vaksìncovid19 #ayokitavaksin #ayovaksìncovid19 #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/IAMHC3KSdY,"[{'text': 'vaksinbooster', 'indices': [89, 103]}, {'text': 'vaksinserentak', 'indices': [104, 119]}, {'text': 'vaksìnasicovid19', 'indices': [120, 137]}, {'text': 'vaksìncovid19', 'indices': [138, 152]}, {'text': 'ayokitavaksin', 'indices': [153, 167]}, {'text': 'ayovaksìncovid19', 'indices': [168, 185]}, {'text': 'bersatulawancovid19', 'indices': [186, 206]}, {'text': 'bersamalawancorona', 'indices': [207, 226]}, {'text': 'polrestabanan', 'indices': [227, 241]}]"
PSeltim,Akurat terpercaya,,120,226,3654,2020-03-31 05:23:48,2022-04-01 22:58:51,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/wWkV8CWwVy","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
TabananHumas,,,4,9,4166,2021-05-09 22:52:02,2022-04-01 22:58:30,1,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/APymGXD4Jh","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
